"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","30-39","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","SEO/HEO","Unknown","35","[c]","35540","35680"
"New entrant CS","2021","30-39","Grants Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","AA/AO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
