"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Communications","Department of Health and Social Care","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Defence","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Defence","Male","40","[c]","30590","26310"
"Leaver CS","2021","Communications","Ministry of Housing, Communities and Local Government","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Attorney General's Departments","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Attorney General's Departments","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Cabinet Office","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Attorney General's Departments","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Cabinet Office","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Cabinet Office","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Competition and Markets Authority","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for International Trade","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Transport","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Transport","Male","40","[c]","38800","31860"
"Leaver CS","2021","Digital, Data & Technology","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department of Health and Social Care","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department of Health and Social Care","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Land Registry","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Land Registry","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Defence","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Defence","Male","35","[c]","35310","33650"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Justice","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Justice","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Scottish Government","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","The National Archives","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Cabinet Office","Male","[c]","[c]","[c]","[c]"
